source,target,weight,type
S.PRI NOIR,GEORGIO,0.547449,similar
S.PRI NOIR,GIANNI,0.702625,similar
S.PRI NOIR,GRADUR,0.444473,similar
S.PRI NOIR,GREEN MONTANA,1.372229,similar
S.PRI NOIR,GUIZMO,0.829781,similar
S.PRI NOIR,HAMZA,1.030877,similar
S.PRI NOIR,HATIK,0.69272,similar
S.PRI NOIR,HAYCE LEMSI,0.422323,similar
S.PRI NOIR,HEUSS L'ENFOIRE,1.1141610000000002,similar
S.PRI NOIR,IKAZ BOI,0.565861,similar
S.PRI NOIR,JOK'AIR,1.149121,similar
S.PRI NOIR,JYEUHAIR,0.465685,similar
S.PRI NOIR,LA FOUINE,1.088887,similar
S.PRI NOIR,LE CLUB,0.512595,similar
S.PRI NOIR,LIVAI,0.446192,similar
S.PRI NOIR,LORD ESPERANZA,0.609974,similar
S.PRI NOIR,MADEINPARIS,0.544573,similar
S.PRI NOIR,MC MENOR JP,0.453438,similar
S.PRI NOIR,MISTER V,0.614042,similar
S.PRI NOIR,OBOY,1.4137119999999999,similar
S.PRI NOIR,RIM'K,0.554486,similar
S.PRI NOIR,S-CREW,1.210338,similar
S.PRI NOIR,LAYLOW,0.742387,similar
S.PRI NOIR,JOSMAN,0.682434,similar
S.PRI NOIR,NISKA,0.669474,similar
S.PRI NOIR,DAMSO,0.638845,similar
S.PRI NOIR,TIAKOLA,0.5851,similar
S.PRI NOIR,JAZZY BAZZ,0.582819,similar
S.PRI NOIR,MAC TYER,0.573283,similar
S.PRI NOIR,LUV RESVAL,0.541939,similar
S.PRI NOIR,KALASH CRIMINEL,0.541375,similar
S.PRI NOIR,SQUIDJI,0.743575,similar
S.PRI NOIR,THEODORT,0.588445,similar
S.PRI NOIR,TSEW THE KID,0.475292,similar
S.PRI NOIR,YG PABLO,0.790645,similar
S.PRI NOIR,ZEG P,0.422446,similar
KOBA LAD,NISKA,2.0,collab+similar
KOBA LAD,MAES,3.448638,collab+similar
KOBA LAD,13 BLOCK,1.314287,similar
KOBA LAD,4KEUS,0.93344,similar
KOBA LAD,BRULUX,0.742317,similar
KOBA LAD,CHILY,0.463696,similar
KOBA LAD,GLK,0.69976,similar
KOBA LAD,GUY2BEZBAR,1.15261,similar
KOBA LAD,IKAZ BOI,0.407235,similar
KOBA LAD,JKSN,0.663715,similar
KOBA LAD,JUL,0.905116,similar
KOBA LAD,KAARIS,1.183667,similar
KOBA LAD,KALASH CRIMINEL,0.654819,similar
