Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
ALONZO;LONGUE VIE À NOUS;ONLY PRO / SONY MUSIC ENTERTAINMENT;Albums;Or;07/02/2025;19/02/2026;1 an
CHILDISH GAMBINO;ME AND YOUR MAMA;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;11/11/2016;12/02/2026;9 ans 4 mois
TAYLOR SWIFT;THE MAN;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;23/08/2019;12/02/2026;6 ans 6 mois
JUL FEAT. TK;PAS DE LOVE;D'OR ET DE PLATINE / BELIEVE;Singles;Or;14/06/2019;12/02/2026;6 ans 9 mois
BTS;IDOL;BIGHIT MUSIC / HYBE / SONY MUSIC ENTERTAINMENT / ORCHARD;Singles;Or;24/08/2018;12/02/2026;7 ans 6 mois
LACRIM FEAT. VACRA;JOIE DE FILLES;PLATA O PLOMO RECORDS / SONY MUSIC ENTERTAINMENT;Singles;Diamant;14/06/2024;12/02/2026;1 an 8 mois
DISIZ;PACIFIQUE;POLYDOR / LABEL PANTHEON / UNIVERSAL MUSIC FRANCE;Albums;Platine;09/06/2017;12/02/2026;8 ans 9 mois
CHARLOTTE CARDIN;99 NIGHTS DELUXE;PARLOPHONE / WARNER MUSIC FRANCE;Albums;Platine;25/08/2023;12/02/2026;2 ans 6 mois
CLARA LUCIANI;MON SANG;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Albums;Platine;15/11/2024;12/02/2026;1 an 3 mois
DAMIANO DAVID;FUNNY LITTLE FEARS;SONY MUSIC ITALY / ARISTA RECORDS / SONY MUSIC ENTERTAINMENT;Albums;Platine;15/05/2025;12/02/2026;9 mois
ED SHEERAN;÷;EAST WEST UK / WARNER MUSIC FRANCE;Albums;Double Diamant;03/03/2017;12/02/2026;9 ans
NISKA FEAT. GUY2BEZBAR;DE BON MATIN;MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;19/08/2021;05/02/2026;4 ans 6 mois
LUTHER;GARÇON;SUBLIME / SONY MUSIC ENTERTAINMENT;Singles;Platine;03/06/2022;05/02/2026;3 ans 8 mois
SOMBR;BACK TO FRIENDS;WARNER RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Platine;27/12/2024;05/02/2026;1 an 1 mois
LA FOUINE & L2B;FLYING BLUE;PLAY TWO / BELIEVE;Singles;Platine;12/09/2025;05/02/2026;4 mois
TKS 2G FEAT. MAUREEN;PADDLE;SHEDWAVE RECORDS / ORCHARD;Singles;Platine;19/09/2025;05/02/2026;4 mois
BOSH;SOLITAIRE;ARISTA FRANCE / SONY MUSIC ENTERTAINMENT;Singles;Diamant;27/03/2020;05/02/2026;5 ans 11 mois
LUIDJI;FOUFOUNE PALACE;FOUFOUNE PALACE / WARNER MUSIC FRANCE;Singles;Diamant;02/04/2022;05/02/2026;3 ans 10 mois
RAVYN LENAE;LOVE ME NOT;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Diamant;03/05/2024;05/02/2026;1 an 9 mois
RILÈS;BROTHERS;RILÈSUNDAYZ / PSCHENT ALTER K / ALTER K;Singles;Diamant;17/03/2016;05/02/2026;10 ans
SOFIANE;AFFRANCHIS;MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Double Platine;26/01/2018;05/02/2026;8 ans 1 mois
LINKIN PARK;FROM ZERO;WARNER RECORDS / WEA / WARNER MUSIC FRANCE;Albums;Double Platine;15/11/2024;05/02/2026;1 an 2 mois
KENDRICK LAMAR;BLACK PANTHER THE ALBUM MUSIC FROM AND INSPIRED BY;INTERSCOPE RECORDS	/ POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Platine;09/02/2018;05/02/2026;8 ans 1 mois
SZA;CTRL;TOP DAWG ENTERTAINMENT/RCA RECORDS / SONY MUSIC ENTERTAINMENT;Albums;Or;11/06/2017;05/02/2026;8 ans 9 mois
CHRIS BROWN;HEARTBREAK ON A FULL MOON;RCA RECORDS LABEL / SONY MUSIC ENTERTAINMENT;Albums;Or;03/11/2017;05/02/2026;8 ans 4 mois
ORELSAN;CIVILISATION;7TH MAGNITUDE / STRONG NINJA / RCA / SONY MUSIC ENTERTAINMENT;Albums;Double Diamant;19/11/2021;05/02/2026;4 ans 3 mois
THEODORA;MEGA BBL;BOSS LADY RECORDS / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Triple Platine;01/11/2024;05/02/2026;1 an 3 mois
JUL FEAT. DJENA DELLA;QU'EST CE QUE JE T'AI FAIT ?;D'OR ET DE PLATINE / BELIEVE;Singles;Or;07/12/2018;05/02/2026;7 ans 3 mois
ORELSAN;DISCIPLINE;7TH MAGNITUDE / STRONG NINJA / RCA / SONY MUSIC ENTERTAINMENT;Singles;Or;16/11/2018;05/02/2026;7 ans 3 mois
CELESTE;STRANGE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;29/01/2021;05/02/2026;5 ans 1 mois
EDDY DE PRETTO & YSEULT;KISS;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;01/09/2021;05/02/2026;4 ans 5 mois
WERENOI;ORDINATEUR;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;28/10/2022;05/02/2026;3 ans 3 mois
LANDY FEAT. LETO & RSKO;CHAQUE JOUR;109 RECORD / MORNING GLORY MUSIC / BELIEVE;Singles;Or;24/02/2023;05/02/2026;2 ans 11 mois
WERENOI;ROLLS ROYCE;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;22/09/2023;05/02/2026;2 ans 4 mois
DRAKE FEAT. SEXYY RED & SZA;RICH BABY DADDY;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;06/10/2023;05/02/2026;2 ans 4 mois
THE WEEKND FEAT. ANITTA;SÃO PAULO;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;25/09/2024;29/01/2026;1 an 4 mois
KATSEYE;GABRIELA;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;20/06/2025;29/01/2026;7 mois
J BALVIN & WILLY WILLIAM;MI GENTE;SCORPIO MUSIC / BELIEVE;Singles;Diamant;28/07/2017;29/01/2026;8 ans 7 mois
VIANNEY & ED SHEERAN;CALL ON ME;TÔT OU TARD / BELIEVE;Singles;Diamant;07/10/2022;29/01/2026;3 ans 4 mois
RAYE FEAT. 070 SHAKE;ESCAPISM.;HUMAN RE SOURCES / ORCHARD;Singles;Diamant;12/10/2022;29/01/2026;3 ans 4 mois
NIRO FEAT. ELGRANDETOTO;QUI SAIT ?;AMBITION MUSIC / SONY MUSIC ENTERTAINMENT;Singles;Diamant;10/02/2023;29/01/2026;3 ans
DAMSO & SARAH SEY;PA PA PAW;TRENTE-QUATRE CENTIMES;Singles;Diamant;30/05/2025;29/01/2026;8 mois
LADY GAGA;ABRACADABRA;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;03/02/2025;29/01/2026;1 an
TAYLOR SWIFT;THE FATE OF OPHELIA;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;03/02/2025;29/01/2026;1 an
MOJI X SBOY;MA GO;WLAB / WAGRAM;Singles;Diamant;18/12/2019;29/01/2026;6 ans 2 mois
TIAKOLA FEAT. RSKO & HAMZA;1H55;M3LO WORLD / ATLANTIC RECORDS / WARNER MUSIC FRANCE;Singles;Diamant;20/09/2024;29/01/2026;1 an 4 mois
NONO LA GRINTA;LOVE YOU;MPR RECORDS / WARNER MUSIC FRANCE;Singles;Diamant;08/10/2025;29/01/2026;3 mois
JUL;LA ZONE  EN PERSONNE;D'OR ET DE PLATINE / BELIEVE;Albums;Diamant;07/12/2018;29/01/2026;7 ans 3 mois
JUL;TP SUR TP;D'OR ET DE PLATINE / BELIEVE;Albums;Double Platine;05/12/2025;29/01/2026;1 mois
LAYLOW;L'ÉTRANGE HISTOIRE DE MR.ANDERSON;DIGITAL MUNDO / SONY MUSIC ENTERTAINMENT;Albums;Triple Platine;16/07/2021;29/01/2026;4 ans 7 mois
MULTI-INTERPRÈTES;THE GREATEST SHOWMAN;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Albums;Platine;08/12/2017;29/01/2026;8 ans 3 mois
AMIR;C AMIR;PARLOPHONE / WARNER MUSIC FRANCE;Albums;Or;13/09/2024;29/01/2026;1 an 4 mois
ED SHEERAN;PLAY;ATLANTIC RECORDS UK / WEA / WARNER MUSIC FRANCE;Albums;Or;12/09/2025;29/01/2026;4 mois
KEMMLER;ÇA ME GÊNE;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Or;08/11/2019;22/01/2026;6 ans 3 mois
ADAM NAAS;FADING AWAY;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;24/06/2016;22/01/2026;9 ans 8 mois
BIGFLO & OLI;SALOPE !;AURA MUSIC / VIRGIN RECORDS / UNIVERSAL MUSIC FRANCE;Singles;Or;23/06/2017;22/01/2026;8 ans 8 mois
AMINÉ;REEL IT IN;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;15/08/2018;22/01/2026;7 ans 6 mois
REIK;ME NIEGO (VERSIÓN POP);RCA RECORDS LABEL / SONY MUSIC ENTERTAINMENT;Singles;Or;16/02/2018;22/01/2026;8 ans
MADAME MONSIEUR & JÉRÉMY FREROT;COMME UN VOLEUR;PLAY TWO / BELIEVE;Singles;Or;30/08/2019;22/01/2026;6 ans 5 mois
TRAVIS SCOTT;SKELETONS;CACTUS JACK / EPIC / SONY MUSIC ENTERTAINMENT;Singles;Or;05/08/2018;22/01/2026;7 ans 6 mois
NAHIR FEAT. IMEN ES;LE CHOIX;AWA / SONY MUSIC ENTERTAINMENT;Singles;Or;19/03/2021;22/01/2026;4 ans 11 mois
LYNA MAHYEM;ENA W YEK;NOUVELLE ECOLE / WARNER MUSIC FRANCE;Singles;Or;10/12/2021;22/01/2026;4 ans 2 mois
SHAY FEAT. GAZO;A L'ENVERS;BECAUSE MUSIC;Singles;Or;19/01/2024;22/01/2026;2 ans
GIMS;VENT DU NORD;PLAY TWO / BELIEVE;Singles;Or;06/09/2024;22/01/2026;1 an 4 mois
LA FOUINE & L2B;SELEÇÃO;PLAY TWO / BELIEVE;Singles;Or;22/11/2024;22/01/2026;1 an 2 mois
S.PRI NOIR FEAT. ALONZO;MAMAN DORT;MI6 / ALLPOINTS / BELIEVE;Singles;Platine;17/04/2020;15/01/2026;5 ans 9 mois
TAYC;LE MIEL;PLAY TWO / BELIEVE;Singles;Platine;04/12/2020;15/01/2026;5 ans 2 mois
LACRIM FEAT. WERENOI;SENOR DE LOS GALLOS;PLATA O PLOMO RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;08/12/2021;15/01/2026;4 ans 1 mois
PIERRE DE MAERE;ENFANT DE;CINQ 7 / WAGRAM;Singles;Platine;06/01/2023;15/01/2026;3 ans
ROSALÍA;LLYLM;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Platine;27/01/2023;15/01/2026;3 ans
FREEZE CORLEONE;JOUR DE PLUS;MMS CORP / JEUNE À JAMAIS;Singles;Platine;11/09/2023;15/01/2026;2 ans 4 mois
CARDI B FEAT. MEGAN THEE STALLION;WAP;ATLANTIC/KSR / WARNER MUSIC FRANCE;Singles;Diamant;07/08/2020;15/01/2026;5 ans 6 mois
ROBIN SCHULZ FEAT. KIDDO;ALL WE GOT;WM GERMANY / WARNER MUSIC FRANCE;Singles;Diamant;16/10/2020;15/01/2026;5 ans 3 mois
NAHIR FEAT. VACRA;PIRANHA;AWA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;26/05/2023;15/01/2026;2 ans 8 mois
UZI;GARS DU ZOO;RPB MUSIC / BELIEVE;Singles;Diamant;01/03/2024;15/01/2026;1 an 10 mois
GENEZIO & LA MANO 1.9;EL GEMANO;PLAY TWO / BELIEVE;Singles;Diamant;31/07/2024;15/01/2026;1 an 5 mois
ED SHEERAN;AZIZAM;ATLANTIC RECORDS UK / WEA / WARNER MUSIC FRANCE;Singles;Diamant;04/04/2025;15/01/2026;9 mois
NIAKS;MANDAT DE DÉPÔT;BYLKA PROD / ADA FRANCE / WARNER MUSIC FRANCE;Albums;Platine;29/09/2023;15/01/2026;2 ans 3 mois
ISHA & LIMSA D'AULNAY;BITUME CAVIAR, VOL.1;PAPA SHANGO / LOGIQUE RECORDS / DEMAIN / DEMAIN / INTEGRAL VIRGIN MUSIC GROUP B.V.;Albums;Or;01/12/2023;15/01/2026;2 ans 1 mois
BEN MAZUÉ;FAMILLE;TOKYTA / SONY MUSIC ENTERTAINMENT;Albums;Or;28/02/2025;15/01/2026;10 mois
JUL;JE FAIS LE SOURD;D'OR ET DE PLATINE / BELIEVE;Singles;Platine;02/12/2016;08/01/2026;9 ans 2 mois
DTF;COSMONAUTE;DTF / MUSICAST;Singles;Platine;18/03/2016;08/01/2026;9 ans 11 mois
KENDRICK LAMAR;PRIDE.;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;14/04/2017;08/01/2026;8 ans 10 mois
FRANCIS MERCIER & MAGIC SYSTEM;PREMIER GAOU (NITEFREAK REMIX);SPINNIN' DEEP / WEA / WARNER MUSIC FRANCE;Singles;Platine;27/10/2017;08/01/2026;8 ans 3 mois
COLDPLAY;HIGHER POWER;PARLOPHONE / WEA / WARNER MUSIC FRANCE;Singles;Platine;07/05/2021;08/01/2026;4 ans 8 mois
NAPS FEAT. SOFIANE & KALIF HARDCORE;CHICHA KALOUD;OK MANY INDUSTRIE / 13EME ART / BELIEVE;Singles;Platine;08/10/2021;08/01/2026;4 ans 3 mois
METRO BOOMIN FEAT. FUTURE & DON TOLIVER;TOO MANY NIGHTS;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;02/12/2022;08/01/2026;3 ans 1 mois
HOSHI;PUIS T'AS DANSÉ AVEC MOI;JO&CO / BELIEVE;Singles;Platine;01/09/2023;08/01/2026;2 ans 4 mois
MÅNESKIN;VALENTINE;EPIC / RCA GROUP / SONY MUSIC ENTERTAINMENT;Singles;Platine;10/11/2023;08/01/2026;2 ans 2 mois
BOUSS;RELATION LIBRE;LE GRAND CARRÉ / LEVEL UP MUSIC / BELIEVE;Singles;Platine;01/05/2024;08/01/2026;1 an 8 mois
BAD BUNNY;BAILE INOLVIDABLE;RIMAS ENTERTAINMENT LLC / ORCHARD;Singles;Platine;05/01/2025;08/01/2026;1 an
WERENOI FEAT. SDM & VACRA;JALOUSE;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Platine;11/04/2025;08/01/2026;9 mois
KAARIS;BOYZ N THE HOOD;VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;11/11/2016;08/01/2026;9 ans 3 mois
JORJA SMITH;BLUE LIGHTS;FAMM LIMITED / BECAUSE;Singles;Diamant;08/06/2018;08/01/2026;7 ans 8 mois
WEJDENE;JE T’AIME DE OUF;VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;25/09/2020;08/01/2026;5 ans 4 mois
SOOLKING FEAT. NINHO;C'EST FORT;LAOBAN INTERNATIONAL / PANDOR / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;25/06/2025;08/01/2026;6 mois
BELLO&DALLAS;LE P'TIT;GABOS ENTERTAINMENT / LA TRIADE / REC. 118 / WARNER / WARNER MUSIC FRANCE;Singles;Or;25/07/2025;08/01/2026;5 mois
BLACKBEAR;HOT GIRL BUMMER;ALAMO / SONY MUSIC ENTERTAINMENT;Singles;Platine;21/08/2019;08/01/2026;6 ans 5 mois
KALASH CRIMINEL;SALE SONORITÉ;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;23/09/2016;08/01/2026;9 ans 5 mois
NINHO;MAMA NO CRY;REC. 118 / MAL LUNE MUSIC	/ WARNER MUSIC FRANCE;Singles;Platine;30/03/2018;08/01/2026;7 ans 10 mois
ORELSAN;PERDU D'AVANCE;7TH MAGNITUDE / STRONG NINJA / RCA / SONY MUSIC ENTERTAINMENT;Albums;Double Platine;16/02/2009;01/01/2026;17 ans 1 mois
YL;LARLAR 3 (COPENHAGUE);BLUE HILLS / VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;05/03/2020;01/01/2026;5 ans 10 mois
ALONZO;J’ÉCRIS;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Or;28/04/2017;01/01/2026;8 ans 9 mois
VENDREDI SUR MER;ÉCOUTE CHÉRIE;PROFIL DE FACE / SONY MUSIC ENTERTAINMENT;Singles;Or;03/10/2018;01/01/2026;7 ans 4 mois
LARRY;BLOCK;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;20/12/2019;01/01/2026;6 ans 1 mois
MOHA LA SQUALE;MIDI MINUIT;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Singles;Or;05/01/2018;01/01/2026;8 ans 1 mois
LETO FEAT. RIM’K;TU DÉCONNES;REC. 118 / WARNER MUSIC FRANCE;Singles;Or;28/06/2019;01/01/2026;6 ans 7 mois
CHILY FEAT. HAMZA;CHILY SAUCE;ARISTA FRANCE / COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;07/02/2020;01/01/2026;5 ans 11 mois
LIL PEEP;STAR SHOPPING;DEATH NOTE MUSIC, LLC / ORCHARD;Singles;Or;29/06/2018;01/01/2026;7 ans 7 mois
GUY2BEZBAR;BUSINESS;BLUE MAGIC CORP / SONY MUSIC ENTERTAINMENT;Singles;Or;30/03/2021;01/01/2026;4 ans 9 mois
HOME FREE;SEA SHANTY MEDLEY;HOME FREE / ORCHARD;Singles;Or;19/03/2021;01/01/2026;4 ans 10 mois
GRADUR FEAT. HAMZA;MON BB;GRAND SHEGUEY PRODUCTION SERVI / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;15/06/2023;01/01/2026;2 ans 7 mois
MAES;AKATSUKI;OMERTA 47 RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;02/11/2023;01/01/2026;2 ans 2 mois
DADJU & TAYC;APPRENDS-MOI !;PLAY TWO / BELIEVE;Singles;Or;16/02/2024;01/01/2026;1 an 10 mois
CALVIN HARRIS FEAT. CLEMENTINE DOUGLAS;BLESSINGS;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;08/05/2025;01/01/2026;7 mois
L2B, IDS & SDM;DAVID DOUILLET;O-VNEE MUSIC - 172 RECORD / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;12/06/2025;01/01/2026;6 mois
BAMBY FEAT. KERCHAK;PAS JALOUSE;CARTHAGE MUSIC / UNIVERSAL MUSIC FRANCE;Singles;Or;22/05/2025;01/01/2026;7 mois
NONO LA GRINTA;TERRAIN;MPR RECORDS / WARNER MUSIC FRANCE;Singles;Or;09/07/2025;01/01/2026;5 mois
ALEX WARREN;ETERNITY;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Or;18/07/2025;01/01/2026;5 mois
NAZA & GAZO;CONNECTÉS;CAPRICAROLESQUE INDUSTRY/BELIEVE;Singles;Or;18/07/2025;01/01/2026;5 mois
THE WEEKND;PARTY MONSTER;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;18/11/2016;01/01/2026;9 ans 3 mois
J BALVIN & BAD BUNNY;LA CANCIÓN;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;28/06/2019;01/01/2026;6 ans 7 mois
GAZO & HAMZA;DRILL FR 5;BSB PROD / SONY MUSIC ENTERTAINMENT;Singles;Platine;02/01/2020;01/01/2026;6 ans 1 mois
WERENOI;VULGAIRE;PGP RECORDS / BELIEVE;Singles;Platine;03/06/2022;01/01/2026;3 ans 7 mois
DERMOT KENNEDY;POWER OVER ME;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;16/10/2018;01/01/2026;7 ans 3 mois
LYNDA;SI TU M'AIMES;POLYDOR / LABEL PANTHEON / UNIVERSAL MUSIC FRANCE;Singles;Diamant;12/12/2019;25/12/2025;6 ans 1 mois
LOMEPAL FEAT. ORELSAN;LA VÉRITÉ;PINÉALE / IDOL / INTEGRAL PIAS;Singles;Diamant;07/12/2018;25/12/2025;7 ans 1 mois
SOPRANO FEAT. VINCENZO;LE COACH;REC. 118 / WARNER MUSIC FRANCE;Singles;Diamant;09/11/2018;25/12/2025;7 ans 2 mois
MHD FEAT. TIAKOLA;POLOLO;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;14/07/2021;25/12/2025;4 ans 6 mois
KIM FEAT. GAZO;LOVE & LOVÉ;HORION / BELIEVE;Singles;Diamant;10/12/2021;25/12/2025;4 ans 1 mois
TRAVIS SCOTT FEAT. PLAYBOI CARTI;FE!N;CACTUS JACK / EPIC / SONY MUSIC ENTERTAINMENT;Singles;Diamant;28/07/2023;25/12/2025;2 ans 5 mois
WERENOI;PONEY;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Diamant;11/04/2025;25/12/2025;8 mois
BEE GEES;TIMELESS - THE ALL-TIME GREATEST HITS;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Platine;21/04/2017;25/12/2025;8 ans 9 mois
FLORENT PAGNY;GRANDEUR NATURE;CUADRADA PRODUCTIONS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Platine;12/09/2025;25/12/2025;3 mois
AYA NAKAMURA;JOURNAL INTIME;REC. 118 / WARNER MUSIC FRANCE;Albums;Double Platine;25/08/2017;25/12/2025;8 ans 5 mois
BTS;LOVE YOURSELF : ‘HER’;INTERSCOPE RECORDS	/ POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Or;26/10/2018;25/12/2025;7 ans 3 mois
ZED;SOIXVNT3;LDS PRODUCTION / BELIEVE;Albums;Or;28/10/2022;25/12/2025;3 ans 2 mois
RENAUD;PUTAIN DE BEST OF!;PARLOPHONE / WARNER MUSIC FRANCE;Albums;Or;28/05/2021;25/12/2025;4 ans 7 mois
M. POKORA;ADRÉNALINE;COLUMBIA / SONY MUSIC ENTERTAINMENT;Albums;Or;21/03/2025;25/12/2025;9 mois
FEU! CHATTERTON;LABYRINTHE;UNIVERSO EM FOGO / VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Or;12/09/2025;25/12/2025;3 mois
ROSALÍA;LUX;COLUMBIA / SONY MUSIC ENTERTAINMENT;Albums;Or;06/11/2025;25/12/2025;1 mois
AYA NAKAMURA;BRISÉ;REC. 118 / WARNER MUSIC FRANCE;Singles;Platine;25/08/2017;18/12/2025;8 ans 5 mois
SO LA LUNE;RODÉ;PLAY TWO / BELIEVE;Singles;Platine;11/06/2021;18/12/2025;4 ans 7 mois
SCH FEAT. DAMSO;02:00;MAISON BARON ROUGE / WARNER MUSIC FRANCE;Singles;Platine;06/12/2024;18/12/2025;1 an
LANDY;A-ONE;109 RECORD / ALLPOINTS / BELIEVE;Albums;Double Platine;13/11/2020;18/12/2025;5 ans 2 mois
GUY2BEZBAR;MAISON BLANCHE;BLUE MAGIC CORP / SONY MUSIC ENTERTAINMENT;Albums;Or;19/07/2024;18/12/2025;1 an 5 mois
ORELSAN;LA FUITE EN AVANT;7TH MAGNITUDE / STRONG NINJA / RCA / SONY MUSIC ENTERTAINMENT;Albums;Platine;06/11/2025;18/12/2025;1 mois
NAPS;POLO KENZO;ALLPOINTS / BELIEVE;Singles;Or;28/06/2019;18/12/2025;6 ans 6 mois
TATE MCRAE;THAT WAY;RCA / SONY MUSIC ENTERTAINMENT;Singles;Or;24/01/2020;18/12/2025;5 ans 11 mois
HÖS COPPERFIELD FEAT. LETO;APRÈS LA PLUIE;TTR / ALLPOINTS / BELIEVE;Singles;Or;28/09/2020;18/12/2025;5 ans 3 mois
NIAKS;HAYLA;BYLKA PROD / ADA FRANCE / WARNER MUSIC FRANCE;Singles;Or;27/05/2022;18/12/2025;3 ans 7 mois
ADÉ;SUNSET;TÔT OU TARD / BELIEVE;Singles;Or;24/08/2022;18/12/2025;3 ans 4 mois
TIAKOLA;SANS NOUVELLE;WATI-B / SONY MUSIC ENTERTAINMENT;Singles;Or;27/09/2022;18/12/2025;3 ans 3 mois
STAR ACADEMY;NE PARTEZ PAS SANS MOI;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;22/10/2022;18/12/2025;3 ans 2 mois
JOSMAN;LES FLAMMES;SIDELINE / SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;18/12/2025;2 ans 2 mois
GIGI PEREZ;SAILOR SONG;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;24/09/2024;11/12/2025;1 an 2 mois
THEODORA;ILS ME RIENT TOUS AU NEZ;BOSS LADY RECORDS / VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;01/11/2024;11/12/2025;1 an 1 mois
GIMS & DAMSO;TU ME RENDS BÊTE;PLAY TWO / BELIEVE;Singles;Platine;15/08/2025;11/12/2025;3 mois
BRULUX;BENZEMA;INDEPENDANT / BELIEVE;Singles;Diamant;28/12/2017;11/12/2025;8 ans
PNL;COMME PAS DEUX;QLF RECORDS / MUSICAST / BELIEVE;Singles;Diamant;05/07/2019;11/12/2025;6 ans 6 mois
LA ZARRA;TU T’EN IRAS;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;11/06/2021;11/12/2025;4 ans 6 mois
GAZO & TIAKOLA;CARTIER;BSB PROD / M3LO WORLD / WATI B / SONY MUSIC ENTERTAINMENT;Singles;Diamant;01/12/2023;11/12/2025;2 ans
KENDRICK LAMAR;NOT LIKE US;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;04/05/2024;11/12/2025;1 an 7 mois
GIMS & DADJU;TERMINAL 2F;PLAY TWO / BELIEVE;Singles;Diamant;16/08/2024;11/12/2025;1 an 4 mois
GRACIE ABRAMS;THAT’S SO TRUE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;18/10/2024;11/12/2025;1 an 1 mois
BAD BUNNY;NUEVAYOL;RIMAS ENTERTAINMENT LLC / ORCHARD;Singles;Diamant;05/01/2025;11/12/2025;11 mois
AVICII;TIM;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Or;06/06/2019;11/12/2025;6 ans 7 mois
SASSO;ENFANT2LARUE VOL.1;WLAB2 / WAGRAM;Albums;Or;18/12/2020;11/12/2025;5 ans
CALVIN HARRIS;96 MONTHS;COLUMBIA / RCA / SONY MUSIC ENTERTAINMENT;Albums;Or;08/08/2024;11/12/2025;1 an 4 mois
AYA NAKAMURA;DESTINÉE;NAKAMURA INDUSTRIE / WARNER MUSIC FRANCE;Albums;Or;21/11/2025;11/12/2025;
