artist_snep,lastfm_name,mbid,listeners,playcount,tags,lastfm_url
ANGUS,Angus,8118e17d-3cfa-451f-9cc6-8bfc78530bd6,109694.0,842813.0,heavy metal|Power metal|dutch|epic heavy metal|Dutch Heavy Metal,https://www.last.fm/music/Angus
ANGÈLE,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,449992.0,20951195.0,pop|Belgium|indie pop|belgian|french pop,https://www.last.fm/music/Ang%C3%A8le
ANIS,Anis,a9263af2-37bb-43cc-b236-d892e23e5a1e,55848.0,545481.0,french|reggae|chanson francaise|nouvelle scene francaise|french pop,https://www.last.fm/music/Anis
ANITTA,Anitta,d606b860-cc03-4959-a3fd-3a24bccf2560,1237984.0,167080317.0,pop|brazilian|funk|dance|female vocalists,https://www.last.fm/music/Anitta
ANN LEE,Ann Lee,6e3ed724-c5a3-4bcd-8ebc-89da0c33b6b8,194398.0,966825.0,dance|pop|electronic|eurodance|female vocalists,https://www.last.fm/music/Ann+Lee
ANNA,Anna,0ad00c9c-b6a1-452c-8cca-eb02acd6b9c6,277518.0,6088544.0,minimal|minimal techno|techno|electronic|italian,https://www.last.fm/music/Anna
ANNA CHEDID,Anna Chedid,1da58a47-26f3-47ac-b633-a2d65795dde1,8.0,122.0,,https://www.last.fm/music/Anna+Chedid
ANNA OF THE NORTH,Anna of the North,4d7db1c4-3c00-4140-8c83-c6d99cfdecf4,660799.0,8170285.0,pop|synthpop|norwegian|indie pop|Norway,https://www.last.fm/music/Anna+of+the+North
ANNE,Anne,1fc464b3-594d-49cf-97ac-01e576d63e0a,24736.0,295119.0,shoegaze|dream pop|post-punk|rock|american,https://www.last.fm/music/Anne
ANNE-MARIE,Anne-Marie,a2b73301-e401-40a9-a15a-2a0a1f2e7766,1204609.0,20897781.0,pop|rnb|british|electronic|female vocalists,https://www.last.fm/music/Anne-Marie
ANNIE LENNOX,Annie Lennox,3e30aebd-0557-4cfd-8fb9-3945afa5d72b,1340406.0,16686675.0,pop|female vocalists|80s|singer-songwriter|rock,https://www.last.fm/music/Annie+Lennox
ANTHONY KAVANAGH,Anthony Kavanagh,0c3ca3aa-21d3-4a15-895c-a7d6c3913166,15729.0,153527.0,Disney|Soundtrack|comicfr|humour,https://www.last.fm/music/Anthony+Kavanagh
ANUEL AA,Anuel AA,87a75fc3-59e7-4598-925c-8e230bce5db9,624113.0,35967598.0,Reggaeton|trap|rap|latin|Latin Trap,https://www.last.fm/music/Anuel+AA
ANYME023,Anyme023,,13525.0,140044.0,,https://www.last.fm/music/Anyme023
AN’OM,,,,,,
APHRODITE'S CHILD,Aphrodite's Child,,299531.0,4488303.0,Progressive rock|Psychedelic Rock|psychedelic|classic rock|rock,https://www.last.fm/music/Aphrodite%27s+Child
AQUA,Aqua,a1ed5e33-22ff-4e7d-a457-42f4309e135f,1616800.0,18506535.0,pop|dance|eurodance|90s|Europop,https://www.last.fm/music/Aqua
ARAM MAFIA,ARAM Mafia,692996bc-b3c1-469a-90d8-618a53de80b9,695.0,3728.0,,https://www.last.fm/music/ARAM+Mafia
ARASH,Arash,0e34ee8b-ac1f-4c95-aba7-856cca40ffb2,303844.0,3746682.0,pop|dance|arabic|Persian|Iranian,https://www.last.fm/music/Arash
ARCADIAN,Arcadian,1c18654f-96c1-40d2-a437-85f586e37917,25693.0,276940.0,french|pop|band|metalcore|francais,https://www.last.fm/music/Arcadian
