annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2025,11,5.123963979403259,2,1,20,5,0.55,0.01246416552411816,5,1,0,0,0
2023,3,7.027314514039777,3,1,1,2,1.0,0.0008724915866882712,2,1,0,0,0
2024,6,6.520621127558696,1,0,3,5,0.0,0.029664713947401222,2,1,0,0,0
2025,3,5.991464547107982,1,0,3,5,0.0,0.002243549794341269,2,1,0,0,0
2025,4,5.937536205082426,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2024,3,6.618738983517219,1,0,15,6,0.0,0.02492833104823632,2,1,0,0,0
2025,10,5.241747015059643,2,1,1,2,1.0,0.0014956998628941791,2,1,0,0,0
2026,1,4.584967478670572,2,1,87,5,0.25287356321839083,0.019693381528106693,2,1,0,0,0
2017,7,8.068402958569699,2,1,48,5,0.020833333333333332,0.0026174747600648134,5,1,0,0,0
2021,1,7.566311014772463,2,1,20,5,0.4,0.019693381528106693,5,1,0,0,0
2021,10,7.40184157874383,1,0,3,5,0.0,0.0003739249657235448,5,1,0,0,0
2024,7,6.456769655572163,1,0,1,5,0.0,0.035398230088495575,5,1,0,0,0
2026,3,3.58351893845611,1,0,17,5,0.058823529411764705,0.0001246416552411816,0,0,1,0,0
2021,7,7.463363045520021,1,0,14,5,0.35714285714285715,0.013710582076529976,2,0,1,0,0
2022,6,7.24422751560335,1,0,28,5,0.2857142857142857,0.000997133241929453,2,0,1,0,0
2025,4,5.877735781779639,1,0,4,5,0.25,0.0003739249657235448,2,0,1,0,0
2018,5,7.96693349840484,1,0,9,5,0.1111111111111111,0.035398230088495575,3,0,1,0,0
2022,11,7.1276936993473985,1,0,40,5,0.125,0.000997133241929453,3,0,1,0,0
2024,9,6.375024819828097,1,0,29,5,0.0,0.00461174124392372,4,0,1,0,0
2019,3,7.851271997109883,1,0,23,5,0.043478260869565216,0.035398230088495575,0,1,0,0,0
2016,1,8.230044310126114,1,0,2,2,0.0,0.0034899663467530847,0,1,0,0,0
2016,4,8.19946419761216,1,0,10,5,0.0,0.0007478499314470896,0,1,0,0,0
2021,5,7.487173694213739,1,0,1,0,0.0,0.013710582076529976,0,1,0,0,0
2022,9,7.168579897264035,1,0,4,0,0.0,0.004237816278200175,0,1,0,0,0
2023,8,6.876264611890766,2,1,2,5,1.0,0.035398230088495575,0,1,0,0,0
2023,10,6.796823718274855,1,0,19,5,0.05263157894736842,0.0017449831733765424,0,1,0,0,0
2023,10,6.796823718274855,1,0,19,5,0.05263157894736842,0.0017449831733765424,0,1,0,0,0
2024,7,6.444131256700441,1,0,3,0,0.0,0.0003739249657235448,0,1,0,0,0
